date,case
2001-12-31,514
2002-01-07,913
2002-01-14,1023
2002-01-21,887
2002-01-28,815
2002-02-04,792
2002-02-11,803
2002-02-18,807
2002-02-25,692
2002-03-04,705
2002-03-11,700
2002-03-18,769
2002-03-25,589
2002-04-01,493
2002-04-08,718
2002-04-15,823
2002-04-22,781
2002-04-29,797
2002-05-06,671
2002-05-13,849
2002-05-20,869
2002-05-27,1075
2002-06-03,1164
2002-06-10,1341
2002-06-17,1443
2002-06-24,1399
2002-07-01,1492
2002-07-08,1509
2002-07-15,1481
2002-07-22,1646
2002-07-29,1596
2002-08-05,1705
2002-08-12,1668
2002-08-19,1698
2002-08-26,1732
2002-09-02,1633
2002-09-09,1509
2002-09-16,1552
2002-09-23,1388
2002-09-30,1188
2002-10-07,1220
2002-10-14,1248
2002-10-21,1189
2002-10-28,1113
2002-11-04,1188
2002-11-11,1150
2002-11-18,1109
2002-11-25,980
2002-12-02,905
2002-12-09,869
2002-12-16,803
2002-12-23,428
2002-12-30,384
2003-01-06,652
2003-01-13,910
2003-01-20,763
2003-01-27,723
2003-02-03,696
2003-02-10,631
2003-02-17,686
2003-02-24,618
2003-03-03,544
2003-03-10,570
2003-03-17,505
2003-03-24,574
2003-03-31,641
2003-04-07,633
2003-04-14,512
2003-04-21,462
2003-04-28,555
2003-05-05,649
2003-05-12,786
2003-05-19,775
2003-05-26,723
2003-06-02,867
2003-06-09,892
2003-06-16,979
2003-06-23,1236
2003-06-30,1250
2003-07-07,1481
2003-07-14,1377
2003-07-21,1430
2003-07-28,1341
2003-08-04,1324
2003-08-11,1273
2003-08-18,1451
2003-08-25,1486
2003-09-01,1371
2003-09-08,1355
2003-09-15,1216
2003-09-22,1233
2003-09-29,1055
2003-10-06,1089
2003-10-13,1132
2003-10-20,1083
2003-10-27,983
2003-11-03,863
2003-11-10,1052
2003-11-17,1049
2003-11-24,970
2003-12-01,949
2003-12-08,875
2003-12-15,838
2003-12-22,444
2003-12-29,361
2004-01-05,708
2004-01-12,1113
2004-01-19,745
2004-01-26,657
2004-02-02,650
2004-02-09,695
2004-02-16,684
2004-02-23,603
2004-03-01,687
2004-03-08,636
2004-03-15,629
2004-03-22,598
2004-03-29,688
2004-04-05,540
2004-04-12,533
2004-04-19,745
2004-04-26,813
2004-05-03,862
2004-05-10,868
2004-05-17,798
2004-05-24,943
2004-05-31,982
2004-06-07,1077
2004-06-14,1310
2004-06-21,1429
2004-06-28,1336
2004-07-05,1507
2004-07-12,1496
2004-07-19,1521
2004-07-26,1524
2004-08-02,1555
2004-08-09,1604
2004-08-16,1760
2004-08-23,1753
