,date,case
0,2001-12-31,514
1,2002-01-07,913
2,2002-01-14,1023
3,2002-01-21,887
4,2002-01-28,815
5,2002-02-04,792
6,2002-02-11,803
7,2002-02-18,807
8,2002-02-25,692
9,2002-03-04,705
10,2002-03-11,700
11,2002-03-18,769
12,2002-03-25,589
13,2002-04-01,493
14,2002-04-08,718
15,2002-04-15,823
16,2002-04-22,781
17,2002-04-29,797
18,2002-05-06,671
19,2002-05-13,849
20,2002-05-20,869
21,2002-05-27,1075
22,2002-06-03,1164
23,2002-06-10,1341
24,2002-06-17,1443
25,2002-06-24,1399
26,2002-07-01,1492
27,2002-07-08,1509
28,2002-07-15,1481
29,2002-07-22,1646
30,2002-07-29,1596
31,2002-08-05,1705
32,2002-08-12,1668
33,2002-08-19,1698
34,2002-08-26,1732
35,2002-09-02,1633
36,2002-09-09,1509
37,2002-09-16,1552
38,2002-09-23,1388
39,2002-09-30,1188
40,2002-10-07,1220
41,2002-10-14,1248
42,2002-10-21,1189
43,2002-10-28,1113
44,2002-11-04,1188
45,2002-11-11,1150
46,2002-11-18,1109
47,2002-11-25,980
48,2002-12-02,905
49,2002-12-09,869
50,2002-12-16,803
51,2002-12-23,428
52,2002-12-30,384
53,2003-01-06,652
54,2003-01-13,910
55,2003-01-20,763
56,2003-01-27,723
57,2003-02-03,696
58,2003-02-10,631
59,2003-02-17,686
60,2003-02-24,618
61,2003-03-03,544
62,2003-03-10,570
63,2003-03-17,505
64,2003-03-24,574
65,2003-03-31,641
66,2003-04-07,633
67,2003-04-14,512
68,2003-04-21,462
69,2003-04-28,555
70,2003-05-05,649
71,2003-05-12,786
72,2003-05-19,775
73,2003-05-26,723
74,2003-06-02,867
75,2003-06-09,892
76,2003-06-16,979
77,2003-06-23,1236
78,2003-06-30,1250
79,2003-07-07,1481
80,2003-07-14,1377
81,2003-07-21,1430
82,2003-07-28,1341
83,2003-08-04,1324
84,2003-08-11,1273
85,2003-08-18,1451
86,2003-08-25,1486
87,2003-09-01,1371
88,2003-09-08,1355
89,2003-09-15,1216
90,2003-09-22,1233
91,2003-09-29,1055
92,2003-10-06,1089
93,2003-10-13,1132
94,2003-10-20,1083
95,2003-10-27,983
96,2003-11-03,863
97,2003-11-10,1052
98,2003-11-17,1049
99,2003-11-24,970
100,2003-12-01,949
101,2003-12-08,875
102,2003-12-15,838
103,2003-12-22,444
104,2003-12-29,361
105,2004-01-05,708
106,2004-01-12,1113
107,2004-01-19,745
108,2004-01-26,657
109,2004-02-02,650
110,2004-02-09,695
111,2004-02-16,684
112,2004-02-23,603
113,2004-03-01,687
114,2004-03-08,636
115,2004-03-15,629
116,2004-03-22,598
117,2004-03-29,688
118,2004-04-05,540
119,2004-04-12,533
120,2004-04-19,745
121,2004-04-26,813
122,2004-05-03,862
123,2004-05-10,868
124,2004-05-17,798
125,2004-05-24,943
126,2004-05-31,982
127,2004-06-07,1077
128,2004-06-14,1310
129,2004-06-21,1429
130,2004-06-28,1336
131,2004-07-05,1507
132,2004-07-12,1496
133,2004-07-19,1521
134,2004-07-26,1524
135,2004-08-02,1555
136,2004-08-09,1604
137,2004-08-16,1760
138,2004-08-23,1753
139,2004-08-30,1730
140,2004-09-06,1671
141,2004-09-13,1605
142,2004-09-20,1520
143,2004-09-27,1240
144,2004-10-04,1252
